index,time,longitude,latitude,magnitude,x,y
19,2008-01-01 05:19:47.961,-116.66409,33.61819,1.23,15.160479222340273,-15.035583636135632
38,2008-01-01 07:08:36.601,-116.09156,33.16443,1.02,-35.23192299160348,38.177906906554284
47,2008-01-01 08:06:14.910,-116.45353,33.50611,1.04,2.6870206218321804,4.467458831167096
68,2008-01-01 11:26:30.618,-116.66267,33.61745,1.31,15.077990079605346,-14.904223650880768
69,2008-01-01 11:26:33.902,-116.6619,33.61754,1.04,15.087887253376046,-14.832907837083877
76,2008-01-01 12:13:27.947,-116.66279,33.61588,1.51,14.903431343533773,-14.915606789280726
157,2008-01-02 08:51:21.037,-116.07135,33.24377,1.08,-26.402143845978376,40.02270432809548
162,2008-01-02 10:17:42.872,-116.66174,33.61538,1.74,14.847683414086557,-14.818463148336697
184,2008-01-02 13:10:20.364,-116.7159,33.22264,1.08,-28.813944332573485,-19.923643063813106
212,2008-01-03 00:38:02.764,-116.62325,33.44059,1.48,-4.592911607168841,-11.27704804946068
215,2008-01-03 01:25:22.493,-116.74938,33.66438,1.27,20.31217834040237,-22.920897820028564
240,2008-01-03 05:33:04.682,-116.2164,33.26732,1.96,-23.82988525716883,26.52630716366502
279,2008-01-03 09:31:52.983,-116.70889,33.70032,1.5,24.300303396447546,-19.16565566104489
283,2008-01-03 10:13:00.073,-116.66176,33.61715,1.27,15.044501234681999,-14.820011138764528
296,2008-01-03 11:04:38.983,-116.66176,33.61715,1.08,15.044501234681999,-14.820011138764528
306,2008-01-03 12:09:49.137,-116.66124,33.617,1.04,15.027747831620815,-14.771885771157043
313,2008-01-03 13:27:25.798,-116.66247,33.61742,1.23,15.07462551521617,-14.88570925737063
331,2008-01-03 17:18:06.184,-116.80563,33.86568,1.05,42.70953933149446,-28.06085367160354
345,2008-01-03 20:02:03.770,-116.38501,33.97742,1.23,55.09933746670736,10.761289743775924
398,2008-01-04 08:23:52.694,-116.83877,33.38998,1.49,-10.176345510998386,-31.292793061191254
412,2008-01-04 10:51:54.493,-116.68717,33.66915,1.15,20.830553544355386,-17.16257585662638
424,2008-01-04 11:32:45.744,-116.75809,33.67043,1.26,20.98686633951418,-23.725318712270433
460,2008-01-04 18:47:01.131,-116.83916,33.72118,1.32,26.651484889605637,-31.209188273028264
572,2008-01-05 13:10:40.054,-116.43491,33.47206,1.02,-1.0982105438371066,6.196290914546396
584,2008-01-05 15:25:11.760,-116.016,33.0155,1.6,-51.76189319533863,45.28804706677525
603,2008-01-05 21:18:41.783,-116.3171,33.31934,2.13,-18.066668258247223,17.153746525987017
605,2008-01-05 21:20:28.970,-116.61324,33.58072,1.22,10.987789553758002,-10.331505397611272
642,2008-01-06 04:42:15.789,-116.39093,33.48685,1.89,0.549849513762692,10.273846926624856
693,2008-01-06 13:40:10.367,-116.74102,33.63735,2.04,17.304764637860476,-22.154148252512385
714,2008-01-06 20:28:32.213,-116.2598,33.35086,1.07,-14.550889322857243,22.46973959492999
717,2008-01-06 21:15:16.425,-116.82548,33.72228,1.29,26.769763175580675,-29.94359603586449
750,2008-01-07 03:37:17.267,-116.73636,33.69331,1.59,23.526243146615837,-21.70863864888072
759,2008-01-07 05:07:35.516,-116.81982,33.7107,1.59,25.48050640044199,-29.424091646612844
771,2008-01-07 06:42:42.950,-116.9576,33.9961,1.17,57.263045437153835,-42.02813630926508
826,2008-01-07 17:22:47.606,-116.39279,33.30732,1.49,-19.41315554400491,10.122259683126
831,2008-01-07 18:11:20.402,-116.57708,33.44944,2.48,-3.61289607247628,-6.992338949757525
907,2008-01-08 07:36:22.278,-116.99805,33.95554,1.79,52.77016487716332,-45.7789327619528
967,2008-01-08 20:50:35.462,-116.69107,33.68034,1.51,22.075476593265076,-17.521214532658295
997,2008-01-09 03:45:01.421,-116.69089,33.68026,1.03,22.066550597569186,-17.5045753434475
1007,2008-01-09 06:11:12.785,-116.56587,33.51353,1.21,3.5128880566151652,-5.947895595881645
1065,2008-01-09 16:54:27.347,-116.31899,33.00651,1.33,-52.85207506716655,17.03898970369258
1187,2008-01-10 18:49:44.110,-116.03342,33.17103,1.01,-34.47521507107727,43.5863673820994
1238,2008-01-11 06:54:31.447,-116.57624,33.4953,1.11,1.4864467286134502,-6.9107468434101555
1432,2008-01-12 02:14:19.170,-116.38082,33.39777,1.26,-9.354347181736099,11.222949028807344
1497,2008-01-12 08:59:59.697,-116.60141,33.09062,1.09,-43.509953515633676,-9.287784286067248
1506,2008-01-12 09:39:28.603,-116.80731,33.70393,2.36,24.724236018008177,-28.26917324495751
1840,2008-01-14 06:43:15.180,-116.29679,33.25316,1.93,-25.422011218614724,19.05535845851391
1841,2008-01-14 06:43:51.221,-116.29733,33.2527,1.05,-25.473259609169812,19.00524547054219
1856,2008-01-14 07:32:57.810,-116.74294,33.65884,1.26,19.694753804053775,-22.32632844389047
1880,2008-01-14 09:54:56.359,-116.36853,33.41983,1.26,-6.899993038145602,12.360727435139033
1926,2008-01-14 15:43:37.403,-116.73325,33.95139,1.13,52.222765027577516,-21.35655369969161
