index,time,longitude,latitude,magnitude,x,y,mc_current,index_from_zero,int_lambd,lambd,lambd_star,LL,TLL,SLL
101,2008-01-01 20:53:44.670,-115.64902729940576,33.22785357153205,1.1,48.89164630004821,6.3004178955580565,1.0,0,0.0,0.0,0.0,-inf,-inf,
143,2008-01-02 05:21:53.374,-115.439,32.77835,1.4000000000000001,-1.05881151150886,25.967858215602146,1.0,1,0.0,0.0,0.0,-inf,-inf,
154,2008-01-02 07:45:43.922,-115.84567,32.67481,1.8,-12.59867522145504,-12.065494158189178,1.0,2,0.0,0.0,0.0,-inf,-inf,
253,2008-01-03 06:47:45.339,-115.57938,33.19932,1.3,45.725163067228166,12.782827079864685,1.0,3,0.0,0.0,0.0,-inf,-inf,
310,2008-01-03 13:03:01.584,-115.50113,32.75467,1.0,-3.7054486792372177,20.16473600645482,1.0,4,0.0,0.0,0.0,-inf,-inf,
364,2008-01-04 01:57:05.501,-115.84277,32.67445,1.3,-12.639032044639713,-11.794107173863692,1.0,5,0.0,0.0,0.0,-inf,-inf,
377,2008-01-04 04:23:11.814,-115.50235,32.75557,1.1,-3.605605075617272,20.05044602080536,1.0,6,0.0,0.0,0.0,-inf,-inf,
414,2008-01-04 11:06:19.729,-115.90339,32.98261,2.4000000000000004,21.63516031669516,-17.407559922429733,1.0,7,0.0,0.0,0.0,-inf,-inf,
467,2008-01-04 18:56:54.587,-115.59436,33.18339,1.5,43.952110603382216,11.391071214754293,1.0,8,0.0,0.0,0.0,-inf,-inf,
470,2008-01-04 18:58:16.959,-115.59449,33.18356,1.1,43.9709996994942,11.378951118112363,1.0,9,0.0,0.0,0.0,-inf,-inf,
472,2008-01-04 19:08:32.917,-115.59474,33.18376,1.1,43.99321172603809,11.355659764365658,1.0,10,0.0,0.0,0.0,-inf,-inf,
473,2008-01-04 19:08:48.296,-115.59361,33.18376,1.1,43.99333400447293,11.460819684934693,1.0,11,0.0,0.0,0.0,-inf,-inf,
596,2008-01-05 20:05:53.660,-115.94572,33.04417,1.9000000000000001,28.48808467326945,-21.340987236412385,1.0,12,0.0,0.0,0.0,-inf,-inf,
599,2008-01-05 20:50:34.198,-115.51547,32.87265,1.9000000000000001,9.410682709797582,18.79877211234485,1.0,13,0.0,0.0,0.0,-inf,-inf,
611,2008-01-05 23:29:31.346,-115.51539,32.87265,1.0,9.410696937714274,18.806243324657096,1.0,14,0.0,0.0,0.0,-inf,-inf,
632,2008-01-06 03:15:47.078,-115.51546,32.87268,1.4000000000000001,9.414020334572015,18.79969965732558,1.0,15,0.0,0.0,0.0,-inf,-inf,
633,2008-01-06 03:20:33.828,-115.51585,32.87263,1.6,9.408391306668085,18.76328808319906,1.0,16,0.0,0.0,0.0,-inf,-inf,
639,2008-01-06 04:04:26.170,-115.5985,33.17867,1.0,43.42683086567464,11.006384226638032,1.0,17,0.0,0.0,0.0,-inf,-inf,
700,2008-01-06 16:13:38.923,-115.57279,33.05103,1.4000000000000001,29.236888896528573,13.418570566634966,1.0,18,0.0,0.0,0.0,-inf,-inf,
706,2008-01-06 17:43:34.870,-115.53442003029096,32.95199329242099,1.1,18.230040689854395,17.013786444885515,1.0,19,0.0,0.0,0.0,-inf,-inf,
789,2008-01-07 07:58:17.620,-115.54659,33.00987,1.3,24.66374074001703,15.86786067267393,1.0,20,0.0,0.0,0.0,-inf,-inf,
876,2008-01-08 04:19:17.970,-115.64546,33.15023,1.6,40.26051825963056,6.638090035772679,1.0,21,0.0,0.0,0.0,-inf,-inf,
1106,2008-01-10 05:27:38.343,-115.7306899067978,32.61386997260168,1.2000000000000002,-19.38215401096942,-1.30445792931638,1.0,22,0.0,0.0,0.0,-inf,-inf,
1380,2008-01-11 17:51:15.970,-115.54412,33.04198,1.1,28.23458273566668,16.09232616380814,1.0,23,0.0,0.0,0.0,-inf,-inf,
1381,2008-01-11 18:07:18.670,-115.56829,33.02877,1.1,26.76227134581686,13.841469589537148,1.0,24,0.0,0.0,0.0,-inf,-inf,
1386,2008-01-11 19:08:34.390,-115.56896,33.02395,1.1,26.22622426265054,13.779760327540796,1.0,25,0.0,0.0,0.0,-inf,-inf,
