index,time,longitude,latitude,magnitude,x,y,mc_current,index_from_zero,int_lambd,lambd,lambd_star,LL,TLL,SLL
19,2008-01-01 05:19:47.961,-116.66409,33.61819,1.2000000000000002,15.160397973475916,-15.035344898033456,1.0,0,0.0,0.0,0.0,-inf,-inf,
38,2008-01-01 07:08:36.601,-116.09156,33.16443,1.0,-35.2320029206451,38.17814689420104,1.0,1,0.0,0.0,0.0,-inf,-inf,
47,2008-01-01 08:06:14.910,-116.45353,33.50611,1.0,2.686939856768723,4.467697877538121,1.0,2,0.0,0.0,0.0,-inf,-inf,
68,2008-01-01 11:26:30.618,-116.66267,33.61745,1.3,15.07790883418154,-14.903984910900194,1.0,3,0.0,0.0,0.0,-inf,-inf,
69,2008-01-01 11:26:33.902,-116.6619,33.61754,1.0,15.087806009815582,-14.832669097442826,1.0,4,0.0,0.0,0.0,-inf,-inf,
76,2008-01-01 12:13:27.947,-116.66279,33.61588,1.5,14.903350097719484,-14.915368044846826,1.0,5,0.0,0.0,0.0,-inf,-inf,
157,2008-01-02 08:51:21.037,-116.07135,33.24377,1.1,-26.4022237285744,40.02294409744588,1.0,6,0.0,0.0,0.0,-inf,-inf,
162,2008-01-02 10:17:42.872,-116.66174,33.61538,1.7000000000000002,14.847602170950314,-14.818224402780638,1.0,7,0.0,0.0,0.0,-inf,-inf,
184,2008-01-02 13:10:20.364,-116.7159,33.22264,1.1,-28.81402570081084,-19.923403235897,1.0,8,0.0,0.0,0.0,-inf,-inf,
212,2008-01-03 00:38:02.764,-116.62325,33.44059,1.5,-4.592992761961324,-11.276808820731471,1.0,9,0.0,0.0,0.0,-inf,-inf,
215,2008-01-03 01:25:22.493,-116.74938,33.66438,1.3,20.312096895642892,-22.92065921012859,1.0,10,0.0,0.0,0.0,-inf,-inf,
240,2008-01-03 05:33:04.682,-116.2164,33.26732,2.0,-23.82996547448303,26.526546869025896,1.0,11,0.0,0.0,0.0,-inf,-inf,
279,2008-01-03 09:31:52.983,-116.70951729940576,33.70257357153205,1.5,24.55092379951199,-19.222944534695973,1.0,12,0.0,0.0,0.0,-inf,-inf,
283,2008-01-03 10:13:00.073,-116.66060003029096,33.617643292420986,1.3,15.099106474820102,-14.712277213012424,1.0,13,0.0,0.0,0.0,-inf,-inf,
296,2008-01-03 11:04:38.983,-116.6634799067978,33.61542997260168,1.1,14.853408757821915,-14.979331214287209,1.0,14,0.0,0.0,0.0,-inf,-inf,
306,2008-01-03 12:09:49.137,-116.66124,33.617,1.0,15.027666589429936,-14.771647029875451,1.0,15,0.0,0.0,0.0,-inf,-inf,
313,2008-01-03 13:27:25.798,-116.66247,33.61742,1.2000000000000002,15.074544270271128,-14.88547051732815,1.0,16,0.0,0.0,0.0,-inf,-inf,
331,2008-01-03 17:18:06.184,-116.80563,33.86568,1.1,42.70945775793017,-28.06061562006893,1.0,17,0.0,0.0,0.0,-inf,-inf,
345,2008-01-03 20:02:03.770,-116.38501,33.97742,1.2000000000000002,55.09925685998488,10.761527484163077,1.0,18,0.0,0.0,0.0,-inf,-inf,
398,2008-01-04 08:23:52.694,-116.83877,33.38998,1.5,-10.176427161660031,-31.2925536943623,1.0,19,0.0,0.0,0.0,-inf,-inf,
412,2008-01-04 10:51:54.493,-116.68717,33.66915,1.1,20.830472242610472,-17.162337259735395,1.0,20,0.0,0.0,0.0,-inf,-inf,
