dataset,model,tll,sll,seed
SaltonSea_10,autoint,1.8643908500671387,-3.097034454345703,1554
SCEDC_20,deep,2.4162046909332275,-9.1519193649292,1554
WHITE_06,autoint,1.960985541343689,-5.309726715087891,1553
SanJac_10,deep,1.0858371257781982,-6.92701530456543,1555
SCEDC_25,autoint,1.6928964853286743,-8.415115356445312,1553
ComCat_25,deep,1.295108675956726,-10.586858749389648,1555
SaltonSea_10,autoint,1.3127738237380981,-3.0384981632232666,1553
SanJac_10,deep,1.0826226472854614,-6.9311323165893555,1553
WHITE_06,autoint,1.9828296899795532,-5.3541717529296875,1554
SCEDC_20,deep,2.4561996459960938,-9.150131225585938,1553
ComCat_25,deep,1.4384098052978516,-10.571534156799316,1553
SaltonSea_10,deep,2.325939178466797,-4.194797039031982,1553
WHITE_06,deep,2.0111584663391113,-5.701935768127441,1553
SCEDC_30,autoint,1.3210835456848145,-8.201204299926758,1553
SanJac_10,autoint,1.0494425296783447,-6.4000630378723145,1554
SCEDC_30,deep,1.4512017965316772,-8.847697257995605,1554
SaltonSea_10,deep,2.3399746417999268,-4.2107834815979,1555
SCEDC_25,autoint,1.7029359340667725,-8.432299613952637,1554
SCEDC_25,autoint,1.7161922454833984,-8.387015342712402,1555
ComCat_25,autoint,1.2873692512512207,-9.906900405883789,1554
SanJac_10,autoint,1.0699876546859741,-6.388810634613037,1553
SanJac_10,deep,1.0771018266677856,-6.932806968688965,1554
SanJac_10,autoint,1.0661945343017578,-6.400831699371338,1555
SCEDC_25,deep,2.035881519317627,-8.944706916809082,1555
WHITE_06,autoint,1.9650306701660156,-5.417531490325928,1555
SCEDC_20,deep,2.4359099864959717,-9.163037300109863,1555
SCEDC_25,deep,1.7294769287109375,-8.952638626098633,1554
SCEDC_25,deep,1.7835750579833984,-8.94820499420166,1553
SCEDC_20,autoint,2.1691336631774902,-8.613039016723633,1555
ComCat_25,autoint,1.404483437538147,-9.932676315307617,1555
SCEDC_30,deep,1.2003860473632812,-8.842140197753906,1555
SCEDC_30,autoint,1.3761672973632812,-8.229401588439941,1554
SCEDC_30,deep,1.142333984375,-8.808944702148438,1553
SCEDC_20,autoint,2.230295181274414,-8.60156536102295,1553
SCEDC_30,deep,1.630813717842102,-8.879651069641113,1553
ComCat_25,autoint,1.2306820154190063,-9.915404319763184,1553
ComCat_25,deep,1.4174002408981323,-10.613180160522461,1554
SaltonSea_10,autoint,2.2435507774353027,-3.142106294631958,1555
SCEDC_30,autoint,1.4250067472457886,-8.225261688232422,1555
WHITE_06,deep,2.0140202045440674,-5.775556564331055,1555
SaltonSea_10,deep,2.3068037033081055,-4.193026065826416,1554
SCEDC_20,autoint,2.2078044414520264,-8.592700958251953,1554
WHITE_06,deep,1.9832807779312134,-5.712889194488525,1554
SaltonSea_10,autoint,1.8643908500671387,-3.097034454345703,1554
SCEDC_20,deep,2.4162046909332275,-9.1519193649292,1554
WHITE_06,autoint,1.960985541343689,-5.309726715087891,1553
SanJac_10,deep,1.0858371257781982,-6.92701530456543,1555
SCEDC_25,autoint,1.6928964853286743,-8.415115356445312,1553
ComCat_25,deep,1.295108675956726,-10.586858749389648,1555
SaltonSea_10,autoint,1.3127738237380981,-3.0384981632232666,1553
SanJac_10,deep,1.0826226472854614,-6.9311323165893555,1553
WHITE_06,autoint,1.9828296899795532,-5.3541717529296875,1554
SCEDC_20,deep,2.4561996459960938,-9.150131225585938,1553
ComCat_25,deep,1.4384098052978516,-10.571534156799316,1553
SaltonSea_10,deep,2.325939178466797,-4.194797039031982,1553
WHITE_06,deep,2.0111584663391113,-5.701935768127441,1553
SCEDC_30,autoint,1.3210835456848145,-8.201204299926758,1553
SanJac_10,autoint,1.0494425296783447,-6.4000630378723145,1554
SCEDC_30,deep,1.4512017965316772,-8.847697257995605,1554
SaltonSea_10,deep,2.3399746417999268,-4.2107834815979,1555
SCEDC_25,autoint,1.7029359340667725,-8.432299613952637,1554
SCEDC_25,autoint,1.7161922454833984,-8.387015342712402,1555
ComCat_25,autoint,1.2873692512512207,-9.906900405883789,1554
SanJac_10,autoint,1.0699876546859741,-6.388810634613037,1553
SanJac_10,deep,1.0771018266677856,-6.932806968688965,1554
SanJac_10,autoint,1.0661945343017578,-6.400831699371338,1555
SCEDC_25,deep,2.035881519317627,-8.944706916809082,1555
WHITE_06,autoint,1.9650306701660156,-5.417531490325928,1555
SCEDC_20,deep,2.4359099864959717,-9.163037300109863,1555
SCEDC_25,deep,1.7294769287109375,-8.952638626098633,1554
SCEDC_25,deep,1.7835750579833984,-8.94820499420166,1553
SCEDC_20,autoint,2.1691336631774902,-8.613039016723633,1555
ComCat_25,autoint,1.404483437538147,-9.932676315307617,1555
SCEDC_30,deep,1.2003860473632812,-8.842140197753906,1555
SCEDC_30,autoint,1.3761672973632812,-8.229401588439941,1554
SCEDC_30,deep,1.142333984375,-8.808944702148438,1553
SCEDC_20,autoint,2.230295181274414,-8.60156536102295,1553
SCEDC_30,deep,1.630813717842102,-8.879651069641113,1553
ComCat_25,autoint,1.2306820154190063,-9.915404319763184,1553
ComCat_25,deep,1.4174002408981323,-10.613180160522461,1554
SaltonSea_10,autoint,2.2435507774353027,-3.142106294631958,1555
SCEDC_30,autoint,1.4250067472457886,-8.225261688232422,1555
WHITE_06,deep,2.0140202045440674,-5.775556564331055,1555
SaltonSea_10,deep,2.3068037033081055,-4.193026065826416,1554
SCEDC_20,autoint,2.2078044414520264,-8.592700958251953,1554
WHITE_06,deep,1.9832807779312134,-5.712889194488525,1554
ComCat_25,neural_stpp,1.2873,-12.5666,0
ComCat_25,neural_stpp,1.2933,-12.0023,1
ComCat_25,neural_stpp,1.2964,-11.9216,2
SCEDC_20,neural_stpp,1.9376,-10.632200000000001,0
SCEDC_20,neural_stpp,1.9331,-10.3305,1
SCEDC_20,neural_stpp,1.8904,-10.1275,2
SCEDC_25,neural_stpp,1.4857,-10.291,0
SCEDC_25,neural_stpp,1.486,-10.0922,1
SCEDC_25,neural_stpp,1.4632,-10.0043,2
SCEDC_30,neural_stpp,1.1545,-10.8321,0
SCEDC_30,neural_stpp,1.1528,-10.2037,1
SCEDC_30,neural_stpp,1.1788,-9.9905,2
SaltonSea_10,neural_stpp,1.9621,-5.575200000000001,0
SaltonSea_10,neural_stpp,1.9563,-5.4548000000000005,1
SaltonSea_10,neural_stpp,1.9573,-5.5837,2
SanJac_10,neural_stpp,1.1367,-8.1566,0
SanJac_10,neural_stpp,1.1325,-8.2548,1
SanJac_10,neural_stpp,1.1263,-8.2186,2
WHITE_06,neural_stpp,1.8122,-13.2549,0
WHITE_06,neural_stpp,1.8093,-13.7897,1
WHITE_06,neural_stpp,1.8050,-11.738299999999999,2
